path,sha256,bytes,kind,status,author,source,license,local_notice,notes
game/art/anims/Idle_Talking.res,bddc2586a96a3f933496143934c5fc379f6f29e913a1a88285f0f7a4876c88c1,59417,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Idle_Tired.res,5c0fa1101c0a573b1afa61c0a28751c15d85908faaa1348cc06fe57c95358c02,66305,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Idle_Torch.res,31e2bcbdfb8a14c54369c2afdb59f00b567b4a704f2d9deed06bccba4be9255f,28969,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Interact.res,d7b8c91c86235cfcd1ee0b67c8685329178adf15f0980a7a8e45b156fe39b7ac,35352,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jog_Bwd.res,ed0a2b18e72747acc015f5a32a2190bd85c4f243c8143294416d1bd1fc705fa2,28107,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jog_Bwd_L.res,a27a0f4b5d438d9748796b479aba37ec76cb11f0ca8beb3f724af8189d5f6ba1,28183,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jog_Bwd_R.res,33c772e6fb5edd989c04b290388c845809aa89077ca0d2e3dcbc1f3e592ad3fe,28783,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jog_Fwd.res,a809e05cf6c0fcf8b149d22bc0654263ff39ba4423b0e224549449d229472985,28083,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jog_Fwd_L.res,1d546a0a6e939828f0a4edbea5c1023072f2a52cf69d971709a11f2143697ec9,28039,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jog_Fwd_LeanL.res,e99e3486838dcdb207b1e873819ba73f554a7dc36042475547ab3529453c49b8,28119,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jog_Fwd_LeanR.res,2b746d70dd4913f614956af1ebed5b2423a8a751b31b62ed1de88bd4b403bd47,28119,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jog_Fwd_R.res,7935df2d2ff10b4b0830471abc550b6762a016343420397f204bff2e6dacb90d,28231,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jog_Left.res,bfaf4fd0f493d37a05f7dadf338614458bd5f5194aa48dd15a73b5ad4fb2d243,28181,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jog_Right.res,46014fe5a4ced3af3e38c4029ef5ea5548846821b7466ee4e0cb2765cf592a54,28207,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jump.res,4905812e47a71498a5e87385a887cdbf51d30a88278816a33e34c56aab8a2904,35781,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jump_Land.res,151ad8aeae800f441035e340ece014754ab63a7009dc1bfaa7ad9ed64788a50c,41026,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Jump_Start.res,95cdbe6f1b05c9550d5c0e33a7fb0cd5acdd0519cf061f2b6df631757e362bbb,45908,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Kick.res,28d8e5aa93efe669ff496afb6c02dd24e88e404551eae75d0c4d061d7c71cf35,28740,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/PickUp_Kneeling.res,4ab41ffe9929d9aa8d206ec4d3a22fa1e93a6f520e68fbc59ed1d746d1636931,46566,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/PickUp_Table.res,a013ab1d45cbdcc19a9e71ce3f2d94726f6a8ca496332bbe7506740efc6dbaec,27688,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Pistol_Aim_Down.res,fe6c8bfd66b3673aa9e6435fa75fbc957844e83d3a3462e9825b14a8c0025f9c,16338,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Pistol_Aim_Neutral.res,5ad5f916ca99baa316b48e90063786d0d697bd10100655e7f775373047d21b28,16344,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Pistol_Aim_Up.res,bf1b8507960e7845e8ea4ac26c9a40050897422c4f0cddf665a9af05baac3e22,16334,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Pistol_Idle.res,4b33a8677caa9c2df930165defe9eeec6a9976c8d3d0b433ae22f5f39fced546,24771,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Pistol_Reload.res,89c01014ba844cc642900f23ae1715c4da6259f57c93d9300ebedd2238943b5d,38342,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Pistol_Shoot.res,f5d86317068b8d3b62c26766b3c5a17437d31e2f1bb5b91e839444f69777ab27,19548,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/PunchKick_Enter.res,f0211fb5b3fa9bc845ca03c7ea11ff296b5a64aa7d5395acdb0c7c98084ce921,24470,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/PunchKick_Exit.res,316c1a189ae559d3f74631e3579bb36bb19b210b21c574f67747f00fa4bf1fc9,24372,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
game/art/anims/Punch_Cross.res,fb12b9cf98cbb4c9f2a7491bf1ca6d83c29c86a6e985b4b2e27e529dd777a93d,26906,res,review_required,unverified,unverified,unverified,,No repository-local provenance record currently clears this distributed asset.
